Filename,FileVersion,FileSize,Date,Time,Platform
Microsoft.exchange.messagingpolicies.unjournalagent.dll,15.0.1497.12,"98,808",2021-02-13,16:43:00,x86
Microsoft.exchange.migration.dll,15.0.1497.12,"962,016",2021-02-13,16:44:00,x86
Microsoft.exchange.migrationmonitor.dll,15.0.1497.12,"144,864",2021-02-13,16:44:00,x86
Microsoft.exchange.mobiledriver.dll,15.0.1497.12,"139,240",2021-02-13,16:42:00,x86
Microsoft.exchange.monitoring.activemonitoring.local.components.dll,15.0.1497.12,"3,922,960",2021-02-13,16:43:00,x86
Microsoft.exchange.monitoring.servicecontextprovider.dll,15.0.1497.12,"20,496",2021-02-13,16:43:00,x86
Microsoft.exchange.net.dll,15.0.1497.12,"4,034,512",2021-02-13,16:44:00,x86
Microsoft.exchange.notifications.broker.exe,15.0.1497.12,"173,008",2021-02-13,16:43:00,x86
Microsoft.exchange.notifications.brokerapi.dll,15.0.1497.12,"56,248",2021-02-13,16:42:00,x86
Microsoft.exchange.oabauthmodule.dll,15.0.1497.12,"20,968",2021-02-13,16:43:00,x86
Microsoft.exchange.oabrequesthandler.dll,15.0.1497.12,"73,224",2021-02-13,16:43:00,x86
Microsoft.exchange.photogarbagecollectionservicelet.dll,15.0.1497.12,"15,328",2021-02-13,16:44:00,x86
Microsoft.exchange.pop3.exe,15.0.1497.12,"92,624",2021-02-13,16:43:00,x86
Microsoft.exchange.pop3service.exe,15.0.1497.12,"25,040",2021-02-13,16:43:00,x86
Microsoft.exchange.popimap.core.dll,15.0.1497.12,"209,872",2021-02-13,16:43:00,x86
Microsoft.exchange.powersharp.management.dll,15.0.1497.12,"4,177,880",2021-02-13,16:44:00,x86
Microsoft.exchange.powershell.configuration.dll,15.0.1497.12,"261,536",2021-02-13,16:42:00,x64
Microsoft.exchange.powershell.rbachostingtools.dll,15.0.1497.12,"41,376",2021-02-13,16:43:00,x86
Microsoft.exchange.protectedservicehost.exe,15.0.1497.12,"29,152",2021-02-13,16:44:00,x86
Microsoft.exchange.protocols.fasttransfer.dll,15.0.1497.12,"134,136",2021-02-13,16:43:00,x86
Microsoft.exchange.protocols.mapi.dll,15.0.1497.12,"406,520",2021-02-13,16:44:00,x86
Microsoft.exchange.provisioningagent.dll,15.0.1497.12,"228,320",2021-02-13,16:44:00,x64
Microsoft.exchange.provisioningservicelet.dll,15.0.1497.12,"80,864",2021-02-13,16:45:00,x86
Microsoft.exchange.pushnotifications.dll,15.0.1497.12,"105,424",2021-02-13,16:44:00,x86
Microsoft.exchange.pushnotifications.publishers.dll,15.0.1497.12,"408,016",2021-02-13,16:44:00,x86
Microsoft.exchange.pushnotifications.server.dll,15.0.1497.12,"72,656",2021-02-13,16:43:00,x86
Microsoft.exchange.rpc.dll,15.0.1497.12,"1,466,832",2021-02-13,16:44:00,x64
Microsoft.exchange.rpcclientaccess.dll,15.0.1497.12,"150,520",2021-02-13,16:42:00,x86
Microsoft.exchange.rpcclientaccess.exmonhandler.dll,15.0.1497.12,"62,424",2021-02-13,16:43:00,x86
Microsoft.exchange.rpcclientaccess.handler.dll,15.0.1497.12,"483,808",2021-02-13,16:42:00,x86
Microsoft.exchange.rpcclientaccess.monitoring.dll,15.0.1497.12,"149,472",2021-02-13,16:42:00,x86
Microsoft.exchange.rpcclientaccess.parser.dll,15.0.1497.12,"733,624",2021-02-13,16:44:00,x86
Microsoft.exchange.rpcclientaccess.server.dll,15.0.1497.12,"207,840",2021-02-13,16:42:00,x86
Microsoft.exchange.rpcclientaccess.service.exe,15.0.1497.12,"31,664",2021-02-13,16:44:00,x86
Microsoft.exchange.rpchttpmodules.dll,15.0.1497.12,"41,440",2021-02-13,16:42:00,x86
Microsoft.exchange.rpcoverhttpautoconfig.dll,15.0.1497.12,"51,160",2021-02-13,16:44:00,x86
Microsoft.exchange.rules.common.dll,15.0.1497.12,"137,168",2021-02-13,16:44:00,x86
Microsoft.exchange.saclwatcherservicelet.dll,15.0.1497.12,"20,440",2021-02-13,16:44:00,x86
Microsoft.exchange.search.core.dll,15.0.1497.12,"290,248",2021-02-13,16:44:00,x86
Microsoft.exchange.search.engine.dll,15.0.1497.12,"97,232",2021-02-13,16:44:00,x86
Microsoft.exchange.search.fast.dll,15.0.1497.12,"329,168",2021-02-13,16:44:00,x86
Microsoft.exchange.search.mdb.dll,15.0.1497.12,"175,056",2021-02-13,16:44:00,x86
Microsoft.exchange.search.query.dll,15.0.1497.12,"95,184",2021-02-13,16:44:00,x86
Microsoft.exchange.search.service.exe,15.0.1497.12,"29,128",2021-02-13,16:44:00,x86
Microsoft.exchange.security.dll,15.0.1497.12,"804,360",2021-02-13,16:43:00,x86
Microsoft.exchange.security.msarpsservice.exe,15.0.1497.12,"19,952",2021-02-13,16:43:00,x86
Microsoft.exchange.server.storage.admininterface.dll,15.0.1497.12,"216,056",2021-02-13,16:44:00,x86
Microsoft.exchange.server.storage.common.dll,15.0.1497.12,"413,176",2021-02-13,16:43:00,x86
Microsoft.exchange.server.storage.diagnostics.dll,15.0.1497.12,"190,968",2021-02-13,16:43:00,x86
Microsoft.exchange.server.storage.directoryservices.dll,15.0.1497.12,"95,736",2021-02-13,16:44:00,x86
Microsoft.exchange.server.storage.esebackinterop.dll,15.0.1497.12,"82,936",2021-02-13,16:44:00,x64
Microsoft.exchange.server.storage.fulltextindex.dll,15.0.1497.12,"67,064",2021-02-13,16:43:00,x86
Microsoft.exchange.server.storage.ha.dll,15.0.1497.12,"82,424",2021-02-13,16:44:00,x86
Microsoft.exchange.server.storage.lazyindexing.dll,15.0.1497.12,"190,968",2021-02-13,16:43:00,x86
Microsoft.exchange.server.storage.logicaldatamodel.dll,15.0.1497.12,"822,776",2021-02-13,16:44:00,x86
Microsoft.exchange.server.storage.mapidisp.dll,15.0.1497.12,"427,000",2021-02-13,16:44:00,x86
Microsoft.exchange.server.storage.multimailboxsearch.dll,15.0.1497.12,"48,120",2021-02-13,16:44:00,x86
Microsoft.exchange.server.storage.physicalaccess.dll,15.0.1497.12,"561,144",2021-02-13,16:43:00,x86
Microsoft.exchange.server.storage.propertydefinitions.dll,15.0.1497.12,"784,888",2021-02-13,16:43:00,x86
Microsoft.exchange.server.storage.propertytag.dll,15.0.1497.12,"30,712",2021-02-13,16:44:00,x86
Microsoft.exchange.server.storage.rpcproxy.dll,15.0.1497.12,"118,776",2021-02-13,16:43:00,x86
Microsoft.exchange.server.storage.storecommonservices.dll,15.0.1497.12,"738,296",2021-02-13,16:44:00,x86
Microsoft.exchange.server.storage.storeintegritycheck.dll,15.0.1497.12,"93,176",2021-02-13,16:44:00,x86
Microsoft.exchange.server.storage.workermanager.dll,15.0.1497.12,"34,808",2021-02-13,16:43:00,x86
Microsoft.exchange.servicehost.exe,15.0.1497.12,"54,752",2021-02-13,16:44:00,x86
Microsoft.exchange.servicelets.globallocatorcache.dll,15.0.1497.12,"49,120",2021-02-13,16:44:00,x86
Microsoft.exchange.services.dll,15.0.1497.12,"7,786,504",2021-02-13,16:43:00,x86
Microsoft.exchange.services.onlinemeetings.dll,15.0.1497.12,"214,528",2021-02-13,16:43:00,x86
Microsoft.exchange.setup.acquirelanguagepack.dll,15.0.1497.12,"58,888",2021-02-13,16:43:00,x86
Microsoft.exchange.setup.bootstrapper.common.dll,15.0.1497.12,"84,992",2021-02-13,16:43:00,x86
Microsoft.exchange.setup.common.dll,15.0.1497.12,"308,232",2021-02-13,16:43:00,x86
Microsoft.exchange.setup.commonbase.dll,15.0.1497.12,"35,848",2021-02-13,16:43:00,x86
Microsoft.exchange.setup.console.dll,15.0.1497.12,"27,656",2021-02-13,16:43:00,x86
Microsoft.exchange.setup.gui.dll,15.0.1497.12,"120,840",2021-02-13,16:43:00,x86
Microsoft.exchange.setup.parser.dll,15.0.1497.12,"54,280",2021-02-13,16:43:00,x86
Microsoft.exchange.sharedcache.client.dll,15.0.1497.12,"22,968",2021-02-13,16:45:00,x86
Microsoft.exchange.sharedcache.exe,15.0.1497.12,"56,816",2021-02-13,16:42:00,x86
Microsoft.exchange.sharepointsignalstore.dll,15.0.1497.12,"29,624",2021-02-13,16:44:00,x86
Microsoft.exchange.sqm.dll,15.0.1497.12,"48,048",2021-02-13,16:44:00,x86
Microsoft.exchange.store.service.exe,15.0.1497.12,"25,072",2021-02-13,16:44:00,x86
Microsoft.exchange.store.worker.exe,15.0.1497.12,"26,616",2021-02-13,16:44:00,x86
Microsoft.exchange.storedriver.dll,15.0.1497.12,"77,304",2021-02-13,16:43:00,x86
Microsoft.exchange.storeprovider.dll,15.0.1497.12,"998,376",2021-02-13,16:43:00,x86
Microsoft.exchange.syncmigrationservicelet.dll,15.0.1497.12,"15,840",2021-02-13,16:45:00,x86
Microsoft.exchange.textprocessing.dll,15.0.1497.12,"151,504",2021-02-13,16:44:00,x86
Microsoft.exchange.transport.agent.addressbookpolicyroutingagent.dll,15.0.1497.12,"24,568",2021-02-13,16:42:00,x86
Microsoft.exchange.transport.agent.antispam.common.dll,15.0.1497.12,"96,248",2021-02-13,16:43:00,x86
Microsoft.exchange.transport.agent.contentfilter.cominterop.dll,15.0.1497.12,"22,520",2021-02-13,16:42:00,x86
Microsoft.exchange.transport.agent.frontendproxyagent.dll,15.0.1497.12,"20,496",2021-02-13,16:42:00,x86
Microsoft.exchange.transport.agent.hygiene.dll,15.0.1497.12,"217,080",2021-02-13,16:42:00,x86
Microsoft.exchange.transport.agent.interceptoragent.dll,15.0.1497.12,"103,928",2021-02-13,16:43:00,x86
Microsoft.exchange.transport.agent.liveidauth.dll,15.0.1497.12,"17,912",2021-02-13,16:42:00,x86
